outcome,prediction
0,0.09696652
0,0.096927173
0,0.096206315
0,0.096044488
1,0.095818341
1,0.095723033
1,0.095394015
0,0.094989069
0,0.094985053
0,0.094868198
0,0.094852775
0,0.094763033
0,0.094689183
1,0.094584495
0,0.094129197
0,0.094004415
0,0.093403913
0,0.093301043
0,0.093116924
0,0.093079619
0,0.09266264
0,0.092630096
0,0.092174403
0,0.091960646
0,0.091960646
0,0.091960646
1,0.091960646
0,0.091405213
0,0.091217667
0,0.090594552
0,0.090492286
0,0.090433612
0,0.090431869
0,0.090431869
0,0.090431869
0,0.090431869
0,0.090431869
0,0.090431869
0,0.090431869
0,0.090431869
0,0.090431869
0,0.090431869
0,0.090431869
0,0.090431869
0,0.090431869
0,0.090431869
0,0.090431869
0,0.09039177
0,0.09034317
0,0.0900454
1,0.089955613
0,0.089830458
0,0.089794293
1,0.089667439
0,0.088250995
0,0.087834254
0,0.087371141
0,0.0873143
0,0.08712329
0,0.08702489
0,0.086966544
0,0.08674933
0,0.086659558
0,0.086561419
0,0.086400062
0,0.086283252
0,0.085923851
0,0.085887313
0,0.085834764
0,0.085417747
0,0.085241251
0,0.085174024
1,0.084896222
0,0.084685527
0,0.084680006
0,0.084516332
0,0.084448941
0,0.084422991
0,0.084094107
0,0.083993271
0,0.083848767
1,0.083848432
1,0.083794355
0,0.0834767
1,0.083341978
0,0.083328322
0,0.083050109
0,0.08281628
0,0.082407273
0,0.082372516
0,0.082289867
0,0.082163252
0,0.082082085
0,0.081376933
0,0.081359878
1,0.081253648
0,0.081169844
0,0.080866471
0,0.080760032
0,0.080719382
0,0.080505662
1,0.07984782
0,0.079646327
0,0.079639286
0,0.079599701
0,0.07959719
1,0.079421774
1,0.07930354
0,0.079301313
0,0.079216115
0,0.078914136
0,0.078537337
0,0.078173056
0,0.078066736
0,0.077537686
0,0.077367246
0,0.077233076
1,0.076820292
0,0.076593265
0,0.076425068
0,0.076261215
0,0.076259591
0,0.076148041
0,0.075846463
0,0.075829938
0,0.075585887
0,0.075483203
0,0.075454392
0,0.075365849
0,0.075247981
0,0.074692287
0,0.074477278
0,0.074313007
0,0.074270606
0,0.074228056
0,0.074212305
0,0.074182764
0,0.074085198
0,0.07407032
0,0.074051991
0,0.073893234
0,0.073748656
0,0.073516719
0,0.073485486
0,0.073410504
0,0.073134467
0,0.072936058
0,0.072524361
0,0.072174557
0,0.071968079
1,0.071864098
0,0.07185033
0,0.071611397
0,0.071385913
0,0.071304776
0,0.071182169
0,0.071141697
0,0.071114451
0,0.070944987
0,0.070759587
0,0.070624508
0,0.070409857
0,0.070168674
0,0.069927633
0,0.069842726
0,0.069702297
0,0.069660082
0,0.069652349
0,0.069422312
1,0.069378421
0,0.069160491
0,0.069121242
0,0.06884177
0,0.068819426
0,0.068750672
0,0.06854894
0,0.067959912
0,0.067774363
0,0.067406327
0,0.066953979
0,0.066914372
0,0.066811047
0,0.066456504
0,0.066114366
0,0.065795504
0,0.065749541
0,0.065696768
0,0.065541074
0,0.065485939
0,0.065324374
0,0.065244973
0,0.064887293
0,0.064803019
0,0.06479051
0,0.064770646
0,0.064768218
0,0.064632617
1,0.064515501
0,0.064423352
0,0.064338475
0,0.064334683
0,0.064069234
0,0.063669622
1,0.06352324
0,0.063443661
0,0.063355774
0,0.063140146
0,0.062975429
0,0.062909409
0,0.062673762
0,0.062433396
0,0.062428433
0,0.062369127
0,0.062304355
0,0.062193379
0,0.062043488
1,0.061864536
0,0.061655048
0,0.06156636
0,0.061479323
0,0.06138904
0,0.06138904
0,0.061065774
0,0.060971629
0,0.060894579
0,0.060855538
0,0.060852818
0,0.06080642
0,0.060805853
0,0.060576696
0,0.060273591
1,0.060273591
0,0.060273591
0,0.060273591
0,0.060273591
1,0.060246088
0,0.060191344
0,0.059860546
0,0.059816517
1,0.059810136
0,0.059703752
0,0.059699677
0,0.05966362
0,0.05962735
0,0.059547044
0,0.059543926
0,0.059366204
0,0.05919604
0,0.059154283
0,0.059101999
0,0.05901498
0,0.058964431
0,0.058828533
0,0.058735836
0,0.058640346
0,0.058567308
0,0.058395613
0,0.058257185
0,0.058195047
0,0.058146868
0,0.057702307
0,0.057585519
0,0.057558995
0,0.057515107
0,0.057515107
0,0.057489648
0,0.057246577
0,0.057174075
0,0.057077941
0,0.057043277
0,0.056953877
0,0.05688848
0,0.056840714
0,0.056825172
0,0.05656638
0,0.056390185
0,0.056382269
0,0.056304779
0,0.056250393
0,0.056239001
0,0.056125779
0,0.055875693
0,0.055675872
1,0.055643741
0,0.055624697
0,0.05555138
0,0.055477023
0,0.0553727
0,0.055208936
0,0.055147957
0,0.055083156
0,0.055015504
0,0.054975938
0,0.054792047
0,0.054541573
0,0.054375704
0,0.054373838
0,0.054141514
0,0.05413739
1,0.053835895
0,0.053797178
0,0.053605687
0,0.053583894
1,0.053301059
0,0.053285196
0,0.052909039
0,0.052889757
0,0.052850362
0,0.052811906
0,0.052795764
0,0.052762166
0,0.052729759
0,0.052679479
0,0.052673008
0,0.052552316
0,0.052482538
0,0.052451622
1,0.052256558
0,0.052165322
0,0.051706411
0,0.051670533
0,0.051590752
0,0.051452804
0,0.051341105
0,0.051288262
0,0.051288262
0,0.051268369
1,0.05112201
0,0.051075663
0,0.050515749
0,0.050423749
1,0.050157823
0,0.050139207
0,0.049959071
0,0.0499475
1,0.04982844
0,0.049573496
0,0.049548309
0,0.049496334
0,0.049329966
0,0.0492374
0,0.049048394
0,0.049029995
0,0.048967473
0,0.048964206
0,0.04870975
0,0.048667587
1,0.048496045
0,0.048205819
0,0.048117004
0,0.048004299
0,0.047878221
0,0.047819979
1,0.047640786
0,0.047552701
0,0.047453605
1,0.047314025
0,0.047277603
0,0.047237381
0,0.047152299
0,0.046899099
0,0.046786949
0,0.046779882
0,0.046763033
0,0.046763033
0,0.046669811
0,0.046601504
1,0.046575338
0,0.046493724
0,0.046458203
0,0.046454273
1,0.046269506
0,0.046254445
0,0.046172954
0,0.045985639
0,0.045949709
0,0.045936357
0,0.045873601
1,0.045864124
0,0.045763247
0,0.045762483
0,0.045615964
1,0.045585256
0,0.045553483
0,0.04535355
0,0.045225393
0,0.045137953
0,0.045066006
0,0.04503506
1,0.045022462
0,0.045020964
0,0.04498088
0,0.044963401
0,0.044913046
0,0.044848781
0,0.044757206
0,0.044699434
0,0.044662613
1,0.044596642
0,0.044459682
0,0.044278581
0,0.044075187
0,0.043987699
0,0.043877199
0,0.043567281
0,0.043543588
0,0.043368448
0,0.043364715
0,0.043298595
0,0.043282084
0,0.043273039
0,0.043272357
0,0.043174203
0,0.043129351
0,0.043039843
0,0.04299628
0,0.042990841
0,0.042941261
0,0.042818382
0,0.042787008
0,0.042732708
1,0.042702738
0,0.042664733
1,0.042625558
0,0.042462967
0,0.042371664
0,0.042289749
0,0.042203948
0,0.042085029
0,0.041977394
0,0.041868772
0,0.041845918
0,0.041758344
0,0.041731413
0,0.04156414
0,0.04153784
0,0.041480869
0,0.041416161
1,0.041374687
0,0.041372083
0,0.041329883
0,0.041149769
0,0.041080207
0,0.040994283
0,0.040844671
0,0.040790793
0,0.04075982
0,0.040740039
0,0.040737186
0,0.040677857
1,0.040574808
0,0.040552333
0,0.040533569
1,0.040416799
0,0.040350296
1,0.04026081
1,0.040147737
0,0.040147126
0,0.040108614
0,0.040098928
0,0.040049743
0,0.040003497
0,0.039907143
0,0.039814003
0,0.039687157
0,0.039684862
0,0.039592326
1,0.039521579
0,0.039478436
0,0.039475866
0,0.039475411
0,0.03947103
0,0.039415918
0,0.03932111
0,0.039270084
0,0.039214853
0,0.039167866
0,0.039152149
0,0.039068177
0,0.039035648
0,0.039003015
0,0.038917724
0,0.038854782
0,0.038833424
