,outcome,prediction
344,1,0.629617691
345,1,0.625712216
346,1,0.624053359
347,1,0.62374562
348,1,0.62284559
349,1,0.61998558
350,1,0.618809104
351,1,0.617010534
352,0,0.616995633
353,1,0.614290237
354,1,0.61313647
355,1,0.612795711
356,1,0.610791028
357,1,0.606631756
358,1,0.606440544
359,1,0.606311619
360,1,0.605522573
361,1,0.60127604
362,1,0.596487761
363,1,0.595667183
364,1,0.595574021
365,1,0.593908608
366,1,0.59014833
367,1,0.588979304
368,1,0.587664843
369,1,0.587000191
370,1,0.585277438
371,1,0.579398155
372,1,0.57629472
373,1,0.573046982
374,1,0.572085917
375,1,0.571228385
376,1,0.566270471
377,1,0.565592527
378,1,0.564960361
379,1,0.562830329
380,1,0.560718417
381,1,0.560718417
382,1,0.55920434
383,1,0.556761265
384,1,0.556220114
385,0,0.555669963
386,1,0.554372489
387,1,0.554104745
388,1,0.552783012
389,1,0.551159799
390,1,0.551153779
391,1,0.549937308
392,1,0.548101842
393,1,0.547608316
394,0,0.531848967
395,1,0.529743016
396,1,0.529690981
397,1,0.527504683
398,1,0.522880614
399,1,0.522369802
400,1,0.521856844
401,0,0.521162331
402,1,0.514573991
403,1,0.514132679
404,1,0.513225257
405,1,0.51205498
406,0,0.504727125
407,0,0.499167949
408,1,0.498266757
409,1,0.498086095
410,1,0.493493199
411,1,0.493155569
412,1,0.492075354
413,1,0.488918036
414,1,0.488276005
415,1,0.483962804
416,1,0.483508825
417,0,0.48347494
418,1,0.480744988
419,1,0.478685856
420,1,0.477562129
421,1,0.474001288
422,1,0.474001288
423,1,0.471407861
424,1,0.469366044
425,0,0.468548208
426,1,0.466966033
427,1,0.465637028
428,1,0.46543318
429,1,0.463036925
430,1,0.459308088
431,1,0.457607031
432,1,0.457486838
433,1,0.45398587
434,1,0.447754264
435,1,0.445180088
436,0,0.444004953
437,1,0.442636937
438,1,0.441522419
439,1,0.441522419
440,1,0.43966341
441,1,0.438355446
442,1,0.437007338
443,1,0.436637938
444,1,0.434457481
445,1,0.433082074
446,1,0.432852179
447,1,0.431814551
448,1,0.430227906
449,1,0.427310824
450,1,0.426174402
451,1,0.425033242
452,1,0.423186094
453,1,0.422919899
454,1,0.416170061
455,0,0.412512481
456,1,0.412438661
457,1,0.405924171
458,1,0.399379939
